=== RUN   TestToImageBuffer
index=7, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=7, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=7, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=7, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=7, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=7, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=7, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=8, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
index=8, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=8, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=8, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=8, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=8, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=8, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=8, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=9, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
index=9, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=9, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=9, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=9, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=9, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=9, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=9, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=10, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
index=10, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=10, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=10, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=10, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=10, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=10, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=10, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=11, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
index=11, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=11, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=11, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=11, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=11, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=11, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=11, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=12, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
index=12, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=85, mask=64, imageByte=0, imageBits=0 
index=12, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=85, mask=32, imageByte=0, imageBits=0 
index=12, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=85, mask=16, imageByte=0, imageBits=0 
index=12, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=85, mask=8, imageByte=0, imageBits=0 
index=12, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=85, mask=4, imageByte=0, imageBits=0 
index=12, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=85, mask=2, imageByte=0, imageBits=0 
index=12, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=85, mask=1, imageByte=0, imageBits=0 
index=13, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=85, mask=128, imageByte=0, imageBits=0 
